time,threshold,delta,regimes,vvix_max,n,wr,total,avg,best,worst,max_dd,mar
0945,7.0,-0.05,ALL,999,101,2.97,-2250,-22.28,2770,-740,5300.0,-0.42
0945,7.0,-0.05,NO_R1,999,67,4.48,-700,-10.45,2770,-740,5030.0,-0.14
0945,7.0,-0.05,ALL,110,197,1.52,1600,8.12,9680,-400,8920.0,0.18
0945,7.0,-0.05,NO_R1,110,171,1.75,600,3.51,7850,-400,9370.0,0.06
0945,7.0,-0.05,ALL,100,162,1.23,3710,22.9,9680,-360,5580.0,0.66
0945,7.0,-0.05,NO_R1,100,148,0.68,-5770,-38.99,2770,-360,8130.0,-0.71
0945,7.0,-0.075,ALL,999,69,4.35,1730,25.07,3740,-260,2330.0,0.74
0945,7.0,-0.075,NO_R1,999,35,8.57,3780,108.0,3740,-260,1570.0,2.41
0945,7.0,-0.075,ALL,110,64,4.69,2590,40.47,3740,-200,1630.0,1.59
0945,7.0,-0.075,NO_R1,110,30,10.0,4640,154.67,3740,-200,870.0,5.33
0945,7.0,-0.075,ALL,100,63,3.17,-70,-1.11,3740,-560,3130.0,-0.02
0945,7.0,-0.075,NO_R1,100,32,6.25,1680,52.5,3740,-560,2440.0,0.69
0945,7.0,-0.1,ALL,999,63,4.76,-1200,-19.05,3130,-330,3750.0,-0.32
0945,7.0,-0.1,NO_R1,999,29,10.34,1350,46.55,3130,-330,2010.0,0.67
0945,7.0,-0.1,ALL,110,58,5.17,-120,-2.07,3130,-280,2670.0,-0.04
0945,7.0,-0.1,NO_R1,110,24,12.5,2430,101.25,3130,-280,1130.0,2.15
0945,7.0,-0.1,ALL,100,59,3.39,-4220,-71.53,1670,-750,4200.0,-1.0
0945,7.0,-0.1,NO_R1,100,28,7.14,-2140,-76.43,1670,-750,3430.0,-0.62
0945,7.0,-0.125,ALL,999,49,8.16,-860,-17.55,4100,-460,4420.0,-0.19
0945,7.0,-0.125,NO_R1,999,29,10.34,2850,98.28,4100,-460,2580.0,1.1
0945,7.0,-0.125,ALL,110,44,9.09,560,12.73,4100,-280,3000.0,0.19
0945,7.0,-0.125,NO_R1,110,24,12.5,4270,177.92,4100,-280,1420.0,3.01
0945,7.0,-0.125,ALL,100,49,6.12,-5640,-115.1,630,-990,5710.0,-0.99
0945,7.0,-0.125,NO_R1,100,28,7.14,-2030,-72.5,2650,-990,4620.0,-0.44
0945,7.0,-0.15,ALL,999,45,8.89,460,10.22,5060,-570,4690.0,0.1
0945,7.0,-0.15,NO_R1,999,29,10.34,3610,124.48,5060,-570,3220.0,1.12
0945,7.0,-0.15,ALL,110,40,10.0,2180,54.5,5060,-350,3260.0,0.67
0945,7.0,-0.15,NO_R1,110,24,12.5,5330,222.08,5060,-350,1790.0,2.98
0945,7.0,-0.15,ALL,100,45,6.67,-5580,-124.0,1220,-1300,7010.0,-0.8
0945,7.0,-0.15,NO_R1,100,28,7.14,-2520,-90.0,3130,-1300,5900.0,-0.43
0945,7.0,-0.175,ALL,999,39,10.26,1020,26.15,6010,-640,5670.0,0.18
0945,7.0,-0.175,NO_R1,999,29,10.34,4830,166.55,6010,-640,3870.0,1.25
0945,7.0,-0.175,ALL,110,35,11.43,2710,77.43,6010,-430,3980.0,0.68
0945,7.0,-0.175,NO_R1,110,24,12.5,6900,287.5,6010,-430,2180.0,3.17
0945,7.0,-0.175,ALL,100,42,7.14,-7130,-169.76,1410,-1670,8630.0,-0.83
0945,7.0,-0.175,NO_R1,100,28,7.14,-2670,-95.36,4080,-1670,7240.0,-0.37
0945,7.0,-0.2,ALL,999,31,16.13,9920,320.0,8730,-790,6890.0,1.44
0945,7.0,-0.2,NO_R1,999,29,10.34,4830,166.55,6480,-790,4670.0,1.03
0945,7.0,-0.2,ALL,110,27,18.52,11990,444.07,8730,-500,4820.0,2.49
0945,7.0,-0.2,NO_R1,110,24,12.5,7350,306.25,6480,-500,2600.0,2.83
0945,7.0,-0.2,ALL,100,34,11.76,870,25.59,8730,-1880,9880.0,0.09
0945,7.0,-0.2,NO_R1,100,28,7.14,-3220,-115.0,4540,-1880,8500.0,-0.38
0945,7.0,-0.225,ALL,999,24,20.83,6500,270.83,8730,-540,5080.0,1.28
0945,7.0,-0.225,NO_R1,999,29,10.34,4230,145.86,6940,-870,5440.0,0.78
0945,7.0,-0.225,ALL,110,22,22.73,7320,332.73,8730,-540,4260.0,1.72
0945,7.0,-0.225,NO_R1,110,24,12.5,7120,296.67,6940,-840,3050.0,2.33
0945,7.0,-0.225,ALL,100,14,35.71,10150,725.0,8730,-270,1430.0,7.1
0945,7.0,-0.225,NO_R1,100,28,7.14,-5310,-189.64,5000,-2370,11180.0,-0.47
0945,7.0,-0.25,ALL,999,24,20.83,8040,335.0,8730,-610,5240.0,1.53
0945,7.0,-0.25,NO_R1,999,29,10.34,4510,155.52,7400,-1060,6200.0,0.73
0945,7.0,-0.25,ALL,110,22,22.73,8830,401.36,8730,-610,4450.0,1.98
0945,7.0,-0.25,NO_R1,110,24,12.5,7700,320.83,7400,-840,3580.0,2.15
0945,7.0,-0.25,ALL,100,14,35.71,12070,862.14,8730,-320,1210.0,9.98
0945,7.0,-0.25,NO_R1,100,28,7.14,-6190,-221.07,5440,-2640,13070.0,-0.47
0945,7.0,-0.275,ALL,999,15,33.33,11460,764.0,8730,-530,2050.0,5.59
0945,7.0,-0.275,NO_R1,999,16,18.75,290,18.12,5440,-840,4360.0,0.07
0945,7.0,-0.275,ALL,110,23,21.74,8670,376.96,8730,-780,5250.0,1.65
0945,7.0,-0.275,NO_R1,110,21,14.29,5700,271.43,8290,-840,3950.0,1.44
0945,7.0,-0.275,ALL,100,15,33.33,12500,833.33,8730,-530,1420.0,8.8
0945,7.0,-0.275,NO_R1,100,13,23.08,2110,162.31,5440,-840,2650.0,0.8
0945,7.0,-0.3,ALL,999,15,33.33,12570,838.0,8730,-610,2060.0,6.1
0945,7.0,-0.3,NO_R1,999,16,18.75,650,40.62,5880,-860,5090.0,0.13
0945,7.0,-0.3,ALL,110,23,21.74,9260,402.61,8730,-890,6120.0,1.51
0945,7.0,-0.3,NO_R1,110,21,14.29,6200,295.24,8720,-890,4230.0,1.47
0945,7.0,-0.3,ALL,100,15,33.33,13680,912.0,8730,-530,1700.0,8.05
0945,7.0,-0.3,NO_R1,100,13,23.08,3380,260.0,5880,-840,2530.0,1.34
0945,7.25,-0.05,ALL,999,119,3.36,4220,35.46,7850,-740,5300.0,0.8
0945,7.25,-0.05,NO_R1,999,83,4.82,5980,72.05,7850,-740,5030.0,1.19
0945,7.25,-0.05,ALL,110,210,1.9,8500,40.48,9680,-400,8920.0,0.95
0945,7.25,-0.05,NO_R1,110,171,1.75,600,3.51,7850,-400,9370.0,0.06
0945,7.25,-0.05,ALL,100,189,1.06,2070,10.95,9680,-360,5580.0,0.37
0945,7.25,-0.05,NO_R1,100,148,0.68,-5770,-38.99,2770,-360,8130.0,-0.71
0945,7.25,-0.075,ALL,999,87,4.6,9150,105.17,9300,-260,2330.0,3.93
0945,7.25,-0.075,NO_R1,999,51,7.84,11460,224.71,9300,-260,1620.0,7.07
0945,7.25,-0.075,ALL,110,77,5.19,10630,138.05,9300,-200,1630.0,6.52
0945,7.25,-0.075,NO_R1,110,41,9.76,12940,315.61,9300,-200,1000.0,12.94
0945,7.25,-0.075,ALL,100,90,2.22,-2210,-24.56,3740,-560,5270.0,-0.42
0945,7.25,-0.075,NO_R1,100,55,3.64,-80,-1.45,3740,-560,4200.0,-0.02
0945,7.25,-0.1,ALL,999,81,4.94,7110,87.78,10740,-330,3160.0,2.25
0945,7.25,-0.1,NO_R1,999,45,8.89,9970,221.56,10740,-330,2120.0,4.7
0945,7.25,-0.1,ALL,110,71,5.63,9000,126.76,10740,-280,2200.0,4.09
0945,7.25,-0.1,NO_R1,110,35,11.43,11860,338.86,10740,-280,1310.0,9.05
0945,7.25,-0.1,ALL,100,86,2.33,-7000,-81.4,1670,-750,6980.0,-1.0
0945,7.25,-0.1,NO_R1,100,51,3.92,-4440,-87.06,1670,-750,5730.0,-0.77
0945,7.25,-0.125,ALL,999,67,7.46,7740,115.52,11690,-460,3820.0,2.03
0945,7.25,-0.125,NO_R1,999,45,8.89,11820,262.67,11690,-460,2720.0,4.35
0945,7.25,-0.125,ALL,110,57,8.77,10260,180.0,11690,-280,2660.0,3.86
0945,7.25,-0.125,NO_R1,110,35,11.43,14340,409.71,11690,-280,1620.0,8.85
0945,7.25,-0.125,ALL,100,76,3.95,-9140,-120.26,630,-990,9210.0,-0.99
0945,7.25,-0.125,NO_R1,100,51,3.92,-4950,-97.06,2650,-990,7540.0,-0.66
0945,7.25,-0.15,ALL,999,63,7.94,9210,146.19,12620,-570,4690.0,1.96
0945,7.25,-0.15,NO_R1,999,45,8.89,12820,284.89,12620,-570,3410.0,3.76
0945,7.25,-0.15,ALL,110,53,9.43,12320,232.45,12620,-360,3260.0,3.78
0945,7.25,-0.15,NO_R1,110,35,11.43,15930,455.14,12620,-360,2020.0,7.89
0945,7.25,-0.15,ALL,100,58,6.9,-7340,-126.55,1220,-1300,8770.0,-0.84
0945,7.25,-0.15,NO_R1,100,40,7.5,-4130,-103.25,3130,-1300,7510.0,-0.55
0945,7.25,-0.175,ALL,999,57,8.77,9800,171.93,13530,-640,5670.0,1.73
0945,7.25,-0.175,NO_R1,999,45,8.89,14120,313.78,13530,-640,4240.0,3.33
0945,7.25,-0.175,ALL,110,48,10.42,13210,275.21,13530,-430,3980.0,3.32
0945,7.25,-0.175,NO_R1,110,35,11.43,17910,511.71,13530,-430,2520.0,7.11
0945,7.25,-0.175,ALL,100,53,7.55,-8980,-169.43,1410,-1670,10480.0,-0.86
0945,7.25,-0.175,NO_R1,100,38,7.89,-4360,-114.74,4080,-1670,8930.0,-0.49
0945,7.25,-0.2,ALL,999,49,12.24,18260,372.65,13980,-790,6890.0,2.65
0945,7.25,-0.2,NO_R1,999,45,8.89,13740,305.33,13980,-790,5070.0,2.71
0945,7.25,-0.2,ALL,110,40,15.0,22420,560.5,13980,-520,4820.0,4.65
0945,7.25,-0.2,NO_R1,110,35,11.43,18350,524.29,13980,-520,2980.0,6.16
0945,7.25,-0.2,ALL,100,45,11.11,-360,-8.0,8730,-1880,11110.0,-0.03
0945,7.25,-0.2,NO_R1,100,38,7.89,-4270,-112.37,4540,-1880,9550.0,-0.45
0945,7.25,-0.225,ALL,999,42,14.29,14590,347.38,14430,-650,6340.0,2.3
0945,7.25,-0.225,NO_R1,999,45,8.89,13050,290.0,14430,-870,5610.0,2.33
0945,7.25,-0.225,ALL,110,35,17.14,17810,508.86,14430,-590,4260.0,4.18
0945,7.25,-0.225,NO_R1,110,35,11.43,18340,524.0,14430,-840,3210.0,5.71
0945,7.25,-0.225,ALL,100,25,24.0,8980,359.2,8730,-390,2640.0,3.4
0945,7.25,-0.225,NO_R1,100,38,7.89,-6250,-164.47,5000,-2370,12120.0,-0.52
0945,7.25,-0.25,ALL,999,32,18.75,5070,158.44,8730,-660,8210.0,0.62
0945,7.25,-0.25,NO_R1,999,35,11.43,2350,67.14,7400,-1060,8360.0,0.28
0945,7.25,-0.25,ALL,110,30,20.0,5860,195.33,8730,-660,7420.0,0.79
0945,7.25,-0.25,NO_R1,110,30,13.33,5540,184.67,7400,-840,5740.0,0.97
