Date,Daily close,Max pos gamma @9:35,,M8 time,Pin strike,M8BF,BOBF,Sigma3,Important days,BF win rate ,,GXBF,Straddle,Max profit straddle,Closing call side str,,Vix open,VIX diff,"$	54,140","$	100,370","$	54,880","$	43,610","$	253,000",,,,1pm BF
,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
04/03/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
04/02/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
04/01/2026,,,,,,,,0,NM,,"$	253,000",,,,,0,,,,,,,,,,,
03/31/2026,,,,,,,,0,EOM,,"$	253,000",,,,,0,,,,,,,,,,,
03/30/2026,,,,,,,,0,EOM-1,,"$	253,000",,,,,0,,,,,,,,,,,
03/27/2026,,,,,,,,0,EOM-2,,"$	253,000",,,,,0,,,,,,,,,,,
03/26/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
03/25/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
03/24/2026,,,,,,,,0,,,"$	253,000",,,,,0,,,,,,,,,,,
03/23/2026,,,,,,,,0,OPEX+1,,"$	253,000",,,,,0,,,,,,,,,,,
03/20/2026,,,,,,,,0,OPEX,,"$	253,000",,,,,0,,,,,,,,,,,
03/19/2026,,,,,,,,0,OPEX-1,,"$	253,000",,,,,0,,,,,,,,,,,
03/18/2026,,,,,,,,0,"FED, VIX EXP",,"$	253,000",,,,,22.36,,,,,,,,,,,
03/17/2026,6716,6770,,,,,-960,-2160,,63%,"$	253,000",-1200,,,,2.7,22.36,Down,,,,,,,,,
03/16/2026,6699,,,,,,,0,,100%,"$	255,160",,,,,0.43,25.06,Down,,,,,,,,,
03/13/2026,6632,,,,,970,,970,,58%,"$	255,160",,,,,0.77,25.49,Down,Started optional m8bf ,,,,,,,,
03/12/2026,6673,,,11:30,6650,1620,,1620,,77%,"$	254,190",,,,,-1.78,26.26,Up,,,,,,,,,
03/11/2026,6776,,,,,,,-1300,CPI,70%,"$	252,570",,-1300,,,-0.23,24.48,Down,,,,,,,,,
03/10/2026,6781,,,,,,-880,-820,,5%,"$	253,870",60,,,,6.12,24.25,Down,,,,,,,,,
03/09/2026,6796,,,10:10,6650,-1500,,-1500,,5%,"$	254,690",,,,,-2.79,30.37,Up,Trump news(war over soon),,,,,,,,
03/06/2026,6740,,,13:05,6755,800,,800,,51%,"$	256,190",,,,,-5.32,27.58,Up,,,,,,,,,
03/05/2026,6831,,,,,,,0,,44%,"$	255,390",,,,,0.05,22.26,Up,,,,,,,,,
03/04/2026,6869,6910,,,,,-1010,-410,,25%,"$	255,390",600,,,,2.68,22.31,Down,,,,,,,,,
03/03/2026,6817,,,10:40,6700,-1360,,-1360,,72%,"$	255,800",,,,,-1.78,24.99,Up,,,,,,,,,
03/02/2026,6882,,,10:00,6855,-50,,-50,NM,74%,"$	257,160",,,,,-1.92,23.21,Up,,,,,,,,,
02/27/2026,6880,,,,,,,-1120,EOM,46%,"$	257,210",,-1120,,,-3.34,21.29,Up,,,,,,,,,
02/26/2026,6909,,,,,,,0,EOM-1,79%,"$	258,330",,,,,0.79,17.95,Up,Bad strike kept coming,,,,,,,,
02/25/2026,6946,,,,,,,1170,"EOM-2, NVDA",77%,"$	258,330",1170,,,,2.8,18.74,Down,,,,,,,,,
02/24/2026,6890,,,10:50,6955,-870,520,-350,,67%,"$	257,160",,,,,-1.89,21.54,Up,,,,,,,,,
